Source,Target,Type,weight
1,545,undirected,1
1,139,undirected,1
1,324,undirected,1
1,278,undirected,1
1,487,undirected,1
1,106,undirected,1
1,459,undirected,1
1,77,undirected,1
1,397,undirected,1
1,114,undirected,1
1,499,undirected,1
1,598,undirected,1
1,87,undirected,1
2,516,undirected,1
2,389,undirected,1
2,143,undirected,1
2,146,undirected,1
2,148,undirected,1
2,407,undirected,1
2,538,undirected,1
2,157,undirected,1
2,289,undirected,1
2,291,undirected,1
2,548,undirected,1
2,301,undirected,1
2,430,undirected,1
2,285,undirected,1
2,306,undirected,1
2,310,undirected,1
2,568,undirected,1
2,579,undirected,1
2,197,undirected,1
2,71,undirected,1
2,456,undirected,1
2,459,undirected,1
2,75,undirected,1
2,399,undirected,1
2,478,undirected,1
2,363,undirected,1
2,108,undirected,1
2,510,undirected,1
2,255,undirected,1
3,131,undirected,1
3,389,undirected,1
3,393,undirected,1
3,396,undirected,1
3,269,undirected,1
3,526,undirected,1
3,271,undirected,1
3,401,undirected,1
3,281,undirected,1
3,549,undirected,1
3,295,undirected,1
3,557,undirected,1
3,175,undirected,1
3,564,undirected,1
3,575,undirected,1
3,194,undirected,1
3,324,undirected,1
3,456,undirected,1
3,210,undirected,1
3,341,undirected,1
3,92,undirected,1
3,98,undirected,1
3,230,undirected,1
3,499,undirected,1
3,246,undirected,1
3,248,undirected,1
3,505,undirected,1
3,250,undirected,1
3,125,undirected,1
3,255,undirected,1
4,162,undirected,1
4,291,undirected,1
4,518,undirected,1
4,9,undirected,1
4,299,undirected,1
4,396,undirected,1
4,397,undirected,1
4,175,undirected,1
4,340,undirected,1
4,501,undirected,1
4,502,undirected,1
5,384,undirected,1
5,98,undirected,1
5,363,undirected,1
5,228,undirected,1
5,487,undirected,1
5,71,undirected,1
5,556,undirected,1
5,399,undirected,1
5,49,undirected,1
5,530,undirected,1
5,244,undirected,1
5,85,undirected,1
5,118,undirected,1
5,504,undirected,1
5,408,undirected,1
5,190,undirected,1
5,92,undirected,1
5,564,undirected,1
